date,symbol,revenueAvg,revenueHigh,revenueLow,epsAvg,epsHigh,epsLow,ebitdaAvg,netIncomeAvg,sgaExpenseAvg,numAnalystsRevenue,numAnalystsEps
1997-12-30,HAL,13577115555,16292538666,10861692444,0.81,0.97,0.65,1013348148,432390066,32143602,18,18
1998-12-30,HAL,18618720078,22342464094,14894976061,0.86,1.04,0.68,603124894,-163471595,336153133,19,19
1999-12-30,HAL,11936235714,14323482857,9548988571,0.29,0.35,0.23,1121166666,389736110,459263888,15,15
2000-12-30,HAL,12732076923,15278492307,10185661538,0.42,0.5,0.34,1212901098,533758240,368450548,20,20
2001-12-30,HAL,12769326470,15323191764,10215461176,0.61,0.73,0.49,1647415529,759288257,375493559,8,8
2002-12-30,HAL,11360555555,13632666666,9088444444,0.355,0.42,0.29,-460555001,-967710001,292615000,20,20
2003-12-30,HAL,16153948569,19384738283,12923158854,0.405,0.48,0.33,-1880359,-757918216,334068927,10,10
2004-12-30,HAL,20483687253,24580424704,16386949802,0.73,0.87,0.59,-202572224,-953673609,359247221,8,8
2005-12-30,HAL,17095820769,20514984923,13676656614,1.12,1.35,0.89,2358272149,1930441414,298955699,18,18
2006-12-30,HAL,12664099967,15196919961,10131279973,2.03,2.44,1.62,3921155475,2292924169,439036455,15,15
2007-12-30,HAL,14778251387,17733901664,11822601109,2.33,2.78,1.88,4786440799,3346995535,282884251,10,10
2008-12-30,HAL,17548531771,21058238125,14038825416,2.66,3.2,2.12,3162972602,1481164383,271273972,8,8
2009-12-30,HAL,13838195401,16605834481,11070556320,1.14,1.37,0.91,1841537904,1077142310,194374156,11,11
2010-12-30,HAL,15764281110,18917137332,12611424887,1.58,1.9,1.26,2642159406,1576781499,198645619,11,11
2011-12-30,HAL,23846369123,28615642948,19077095298,3.1,3.72,2.48,4361130663,2718664217,268836501,16,16
2012-12-30,HAL,27395057985,32874069582,21916046388,2.75,3.29,2.21,3996661764,2522910784,263683332,16,16
2013-12-30,HAL,28320764531,33984917437,22656611624,2.89,3.46,2.32,3047915591,2073384296,320275547,14,14
2014-12-30,HAL,31347348796,37616818554,25077879037,3.62,4.34,2.9,4882108449,3310333417,295023686,11,11
2015-12-30,HAL,23669510714,24126965404,23102717741,1.48088,1.51809,1.43478,-367150230,-471616930,162840612,5,4
2016-12-30,HAL,15955083784,16263443682,15573021413,-0.050971,-0.04938427,-0.05225163,-7625128953,-6429622645,285522301,4,5
2017-12-30,HAL,20317746429,20710422412,19831215210,1.16952,1.1989,1.13311,988272619,-384044131,198596551,5,4
2018-12-30,HAL,23899862069,24361768702,23327553074,1.84752,1.89394,1.79001,2289332597,1575338664,246152233,5,4
2019-12-30,HAL,22359119617,22791248708,21823705428,1.21192,1.24237,1.17419,-435293103,-972499999,211563218,8,15
2020-12-30,HAL,14412719654,14691270668,14067590922,0.62132,0.63693,0.60198,-3990801514,-4621436362,194065908,11,14
2021-12-30,HAL,15109575274,15401594241,14747759552,1.06418,1.09092,1.03105,2422058822,1347256684,185609625,9,14
2022-12-30,HAL,20298877566,20691188876,19812798183,2.10033,2.1531,2.03495,2716958168,1467258168,223197384,12,15
2023-12-31,HAL,23180000000,23824281283,22389574984,3.02132,3.13049,2.88739,4214681179,2527509602.5,261870220,15,8
2024-12-31,HAL,22969511429,22999497736,22929529685,2.98665,3.00663,2.96667,4176409298,2508786002.5,259492278,16,18
2025-12-31,HAL,21921725522,22131933848,21511318788,2.27167,2.35208,2.10079,3985896634,1870205402,247655180,18,14
2026-12-31,HAL,21671495390,22060803690,21032630486,2.21811,2.28837,2.12778,3940398781,1823322670,244828268,18,15
2027-12-31,HAL,22599662138,23185093314,21640766245,2.69212,2.9079,2.34276,4109161806,2210734830,255313999,18,15
2028-12-31,HAL,23531875714,23612456765,23451294662,3.17497,3.55824,2.70017,4278660642,2544227850,265845447,12,6
2029-12-31,HAL,24994634286,25689352795,24142331258,3.62802,3.75911,3.46719,4544625311,3047536803,282370594,11,4
2030-12-31,HAL,24920000000,25612644071,24070241959,3.39,3.51249,3.23972,4531055004,2847600003,281527432,6,2
