year,revenue,operating_income,net_income,total_assets,total_equity,total_debt,operating_cash_flow,capex,eps
2002,18119000000,4101000000,2137000000,25022000000,8756000000,6261000000,945000000,-1182000000,1.03
2003,20894000000,4933000000,3106000000,27448000000,9786000000,8522000000,3512000000,-990000000,1.6
2004,19380000000,4699000000,2388000000,30435000000,10202000000,8463000000,3176000000,-809000000,1.23
2005,19207000000,4125000000,3000000000,28138000000,11208000000,8364000000,1836000000,-768000000,1.54
2006,17914000000,2642000000,1585000000,25575000000,9991000000,7248000000,2083000000,-793000000,0.81
2007,19348000000,3767000000,2165000000,26172000000,10562000000,4381000000,3153000000,-843000000,1.1
2008,20597000000,4875000000,5247000000,29486000000,12208000000,6585000000,3707000000,-941000000,2.65
2009,18808000000,5048000000,10612000000,31008000000,14785000000,6130000000,4065000000,-730000000,5.38
2010,19484000000,6136000000,3102000000,31076000000,15638000000,5328000000,4491000000,-424000000,1.81
2011,21244000000,6751000000,3709000000,32970000000,15867000000,5376000000,4840000000,-367000000,2.18
2012,17621000000,4267000000,1960000000,35897000000,13638000000,6568000000,6941000000,-548000000,1.17
2013,16385000000,3130000000,2563000000,38592000000,15236000000,7981000000,3545000000,-537000000,1.56
2014,15879000000,3135000000,2004000000,33749000000,14983000000,7242000000,3148000000,-526000000,1.21
